ss_presented,inhibited,ssd,rt,value
1,0,200,185,0
0,-999,-999,320,0
0,-999,-999,341,0
0,-999,-999,366,1
1,1,50,-999,1
0,-999,-999,421,1
0,-999,-999,197,1
1,0,200,267,0
0,-999,-999,214,1
0,-999,-999,318,0
0,-999,-999,225,1
0,-999,-999,239,1
0,-999,-999,296,0
0,-999,-999,235,1
0,-999,-999,438,0
0,-999,-999,433,0
0,-999,-999,383,0
1,0,400,190,1
0,-999,-999,299,0
1,0,267,197,1
0,-999,-999,319,1
1,1,200,-999,0
0,-999,-999,342,0
1,0,267,259,1
1,1,133,-999,1
0,-999,-999,238,1
1,0,333,254,1
0,-999,-999,359,0
1,0,200,226,0
0,-999,-999,324,1
0,-999,-999,202,1
0,-999,-999,204,1
0,-999,-999,318,0
1,1,133,-999,0
0,-999,-999,335,0
0,-999,-999,360,0
1,0,267,221,1
1,1,133,-999,1
0,-999,-999,387,0
1,0,267,233,1
1,1,133,-999,1
0,-999,-999,496,0
0,-999,-999,191,1
0,-999,-999,328,0
1,0,333,196,1
0,-999,-999,231,1
0,-999,-999,227,1
1,0,267,292,0
0,-999,-999,303,0
0,-999,-999,274,0
0,-999,-999,219,0
0,-999,-999,183,1
0,-999,-999,269,0
0,-999,-999,218,1
0,-999,-999,250,1
1,1,133,-999,1
0,-999,-999,229,1
0,-999,-999,245,1
1,0,333,219,1
1,1,200,-999,0
1,0,333,240,1
1,0,200,238,1
0,-999,-999,340,0
1,1,50,-999,1
0,-999,-999,436,1
0,-999,-999,228,1
0,-999,-999,321,0
0,-999,-999,240,1
1,1,133,-999,0
1,1,200,-999,0
0,-999,-999,225,1
1,1,200,-999,0
0,-999,-999,303,0
1,0,333,251,1
1,1,133,-999,1
0,-999,-999,383,0
1,0,267,296,0
0,-999,-999,317,0
1,1,50,-999,0
0,-999,-999,228,1
1,0,200,257,1
0,-999,-999,271,1
0,-999,-999,305,0
1,0,50,261,0
1,1,50,-999,0
1,0,267,241,1
0,-999,-999,241,0
0,-999,-999,310,1
0,-999,-999,268,1
1,1,133,-999,1
1,1,267,-999,0
0,-999,-999,210,1
0,-999,-999,348,0
0,-999,-999,493,0
0,-999,-999,203,1
0,-999,-999,245,1
0,-999,-999,234,1
1,0,333,348,0
1,1,267,-999,0
0,-999,-999,264,0
1,0,483,223,1
1,0,400,231,1
1,0,333,229,1
0,-999,-999,280,0
0,-999,-999,344,0
0,-999,-999,252,1
0,-999,-999,271,0
0,-999,-999,259,0
1,1,133,-999,1
0,-999,-999,444,0
0,-999,-999,324,0
0,-999,-999,256,1
0,-999,-999,345,0
1,0,200,221,1
0,-999,-999,258,1
0,-999,-999,233,1
0,-999,-999,259,1
0,-999,-999,347,1
1,1,50,-999,1
0,-999,-999,440,0
1,0,267,319,1
1,1,50,-999,0
0,-999,-999,246,0
0,-999,-999,256,1
0,-999,-999,428,0
0,-999,-999,520,0
1,0,267,237,1
0,-999,-999,327,1
0,-999,-999,267,1
0,-999,-999,358,0
1,0,200,251,1
0,-999,-999,360,0
0,-999,-999,269,1
1,0,200,252,1
0,-999,-999,385,0
0,-999,-999,356,0
0,-999,-999,245,1
0,-999,-999,346,0
0,-999,-999,278,1
1,1,200,-999,0
0,-999,-999,238,1
1,0,400,307,0
0,-999,-999,239,1
0,-999,-999,284,1
1,0,333,302,0
1,0,200,238,1
1,1,50,-999,1
0,-999,-999,361,0
0,-999,-999,256,1
1,1,133,-999,0
0,-999,-999,253,1
1,0,333,263,1
0,-999,-999,446,0
1,1,133,-999,1
1,1,200,-999,0
0,-999,-999,419,0
1,1,400,-999,0
0,-999,-999,385,0
0,-999,-999,316,0
0,-999,-999,197,1
1,0,483,504,0
0,-999,-999,240,1
1,0,267,238,1
0,-999,-999,226,1
1,1,50,-999,0
0,-999,-999,528,0
0,-999,-999,223,1
0,-999,-999,259,1
0,-999,-999,269,1
1,1,133,-999,0
1,0,200,261,1
0,-999,-999,283,1
0,-999,-999,446,0
1,1,50,-999,0
0,-999,-999,272,1
1,0,267,296,0
1,1,200,-999,0
0,-999,-999,230,1
0,-999,-999,281,0
1,0,333,272,1
0,-999,-999,256,0
0,-999,-999,316,1
0,-999,-999,489,0
0,-999,-999,421,0
0,-999,-999,291,1
0,-999,-999,338,0
0,-999,-999,394,0
1,1,133,-999,1
1,0,267,302,1
0,-999,-999,279,1
0,-999,-999,268,1
0,-999,-999,290,0
1,1,50,-999,1
1,1,200,-999,0
1,0,267,245,1
0,-999,-999,299,1
0,-999,-999,319,1
0,-999,-999,242,1
0,-999,-999,414,0
1,1,50,-999,0
0,-999,-999,254,1
0,-999,-999,231,1
0,-999,-999,283,1
1,1,133,-999,0
1,0,333,328,1
0,-999,-999,365,0
0,-999,-999,491,1
0,-999,-999,291,1
0,-999,-999,343,0
0,-999,-999,225,0
0,-999,-999,418,0
0,-999,-999,249,1
0,-999,-999,209,1
0,-999,-999,384,0
1,0,200,214,1
1,1,50,-999,0
0,-999,-999,286,1
0,-999,-999,285,1
0,-999,-999,325,0
1,0,267,259,1
0,-999,-999,229,1
0,-999,-999,253,1
0,-999,-999,344,0
0,-999,-999,330,0
0,-999,-999,252,1
0,-999,-999,239,1
1,1,133,-999,0
0,-999,-999,303,0
0,-999,-999,443,0
1,0,267,251,1
0,-999,-999,333,0
0,-999,-999,326,0
0,-999,-999,243,1
0,-999,-999,251,1
0,-999,-999,285,1
0,-999,-999,336,1
0,-999,-999,311,0
0,-999,-999,281,0
1,1,50,-999,1
1,1,133,-999,0
1,1,200,-999,0
1,0,400,421,1
1,0,200,242,0
0,-999,-999,243,0
0,-999,-999,273,1
1,1,50,-999,1
0,-999,-999,279,1
1,0,267,245,1
0,-999,-999,256,1
0,-999,-999,590,0
0,-999,-999,443,0
0,-999,-999,332,0
0,-999,-999,239,1
0,-999,-999,306,0
0,-999,-999,230,1
0,-999,-999,269,1
1,1,133,-999,1
0,-999,-999,367,0
1,0,267,277,1
1,1,200,-999,0
0,-999,-999,321,1
0,-999,-999,363,0
0,-999,-999,305,1
1,0,400,328,0
1,1,200,-999,0
0,-999,-999,272,1
1,0,400,285,1
1,0,333,346,1
0,-999,-999,300,1
0,-999,-999,308,1
0,-999,-999,279,1
0,-999,-999,281,1
1,0,267,326,1
0,-999,-999,355,0
0,-999,-999,345,1
0,-999,-999,220,1
1,1,133,-999,0
0,-999,-999,239,1
1,0,200,268,1
0,-999,-999,275,1
0,-999,-999,243,1
1,1,133,-999,1
0,-999,-999,252,1
0,-999,-999,367,0
0,-999,-999,248,1
0,-999,-999,222,1
0,-999,-999,249,1
0,-999,-999,316,0
1,0,200,245,1
0,-999,-999,168,1
1,1,50,-999,0
0,-999,-999,316,1
1,0,483,209,1
0,-999,-999,289,1
0,-999,-999,265,0
1,0,267,246,1
1,1,133,-999,1
0,-999,-999,296,0
1,0,333,236,1
0,-999,-999,221,1
1,1,133,-999,0
1,0,267,287,0
1,0,200,282,0
0,-999,-999,340,0
1,1,50,-999,0
0,-999,-999,214,1
0,-999,-999,209,1
0,-999,-999,363,0
1,0,333,280,0
0,-999,-999,330,0
0,-999,-999,210,1
0,-999,-999,244,1
0,-999,-999,195,1
0,-999,-999,174,1
1,0,267,271,0
1,1,50,-999,1
1,1,267,-999,1
0,-999,-999,226,0
0,-999,-999,337,0
1,0,333,277,1
0,-999,-999,495,1
1,0,267,229,1
0,-999,-999,344,0
0,-999,-999,346,0
0,-999,-999,228,1
0,-999,-999,235,1
0,-999,-999,277,0
1,0,200,227,1
1,1,50,-999,1
0,-999,-999,306,0
0,-999,-999,266,0
0,-999,-999,385,1
1,0,267,210,1
0,-999,-999,327,0
0,-999,-999,414,0
0,-999,-999,323,0
1,1,50,-999,1
1,0,267,275,1
1,1,133,-999,0
0,-999,-999,343,0
0,-999,-999,228,1
0,-999,-999,266,1
0,-999,-999,262,0
0,-999,-999,223,0
0,-999,-999,213,1
1,0,200,223,1
0,-999,-999,289,0
0,-999,-999,243,1
0,-999,-999,221,1
0,-999,-999,339,0
1,1,133,-999,0
0,-999,-999,314,0
0,-999,-999,271,1
0,-999,-999,244,1
1,0,483,262,0
0,-999,-999,248,1
0,-999,-999,318,0
0,-999,-999,222,1
0,-999,-999,262,1
1,0,333,235,1
1,0,267,256,1
0,-999,-999,252,1
0,-999,-999,259,1
0,-999,-999,342,1
0,-999,-999,234,1
0,-999,-999,325,0
0,-999,-999,225,1
0,-999,-999,361,0
0,-999,-999,269,0
0,-999,-999,242,1
0,-999,-999,253,1
0,-999,-999,377,0
0,-999,-999,258,1
0,-999,-999,320,0
0,-999,-999,277,1
0,-999,-999,341,0
1,0,483,250,1
0,-999,-999,335,0
0,-999,-999,359,0
1,0,267,235,1
0,-999,-999,251,1
0,-999,-999,252,1
0,-999,-999,304,0
0,-999,-999,308,0
0,-999,-999,294,0
1,1,133,-999,0
1,0,200,276,0
1,1,50,-999,0
1,0,200,242,1
0,-999,-999,429,0
0,-999,-999,312,1
1,1,50,-999,0
0,-999,-999,324,0
0,-999,-999,421,0
0,-999,-999,250,1
0,-999,-999,295,1
0,-999,-999,322,1
0,-999,-999,279,1
1,0,267,288,0
0,-999,-999,303,0
0,-999,-999,299,1
0,-999,-999,262,1
1,1,50,-999,0
0,-999,-999,211,1
0,-999,-999,304,1
0,-999,-999,268,1
1,1,133,-999,1
0,-999,-999,418,0
0,-999,-999,238,1
1,0,333,264,0
1,1,133,-999,0
1,0,267,222,1
1,1,133,-999,0
0,-999,-999,232,1
0,-999,-999,233,1
1,0,200,262,1
0,-999,-999,231,1
0,-999,-999,263,0
0,-999,-999,230,0
0,-999,-999,509,0
0,-999,-999,241,1
0,-999,-999,317,0
0,-999,-999,197,1
1,1,50,-999,0
0,-999,-999,294,0
1,0,200,225,1
1,1,50,-999,1
0,-999,-999,574,0
0,-999,-999,269,1
0,-999,-999,260,1
0,-999,-999,261,1
1,0,333,285,1
1,0,267,288,0
0,-999,-999,299,1
0,-999,-999,252,1
1,0,200,265,0
0,-999,-999,270,1
0,-999,-999,280,0
0,-999,-999,258,1
0,-999,-999,272,1
0,-999,-999,287,1
0,-999,-999,279,0
0,-999,-999,391,1
0,-999,-999,351,1
0,-999,-999,444,1
0,-999,-999,274,0
1,0,333,323,0
0,-999,-999,289,1
0,-999,-999,262,1
1,0,200,263,1
0,-999,-999,398,0
0,-999,-999,293,1
0,-999,-999,260,1
0,-999,-999,320,1
0,-999,-999,372,1
0,-999,-999,349,0
1,1,200,-999,1
0,-999,-999,414,0
0,-999,-999,229,1
0,-999,-999,205,1
1,0,400,244,1
0,-999,-999,376,0
0,-999,-999,531,0
0,-999,-999,220,1
0,-999,-999,311,0
1,0,200,248,1
0,-999,-999,439,0
0,-999,-999,370,0
0,-999,-999,320,0
1,1,50,-999,1
0,-999,-999,243,1
0,-999,-999,263,1
0,-999,-999,241,1
1,1,133,-999,0
1,0,200,243,1
1,1,50,-999,1
0,-999,-999,355,0
0,-999,-999,227,1
1,0,200,247,0
0,-999,-999,257,1
1,1,50,-999,0
0,-999,-999,252,1
0,-999,-999,253,1
1,0,333,255,1
0,-999,-999,226,1
0,-999,-999,293,0
1,1,267,-999,0
1,0,483,274,0
1,0,333,254,1
1,0,267,277,0
0,-999,-999,300,0
0,-999,-999,230,1
1,1,50,-999,0
0,-999,-999,242,1
0,-999,-999,295,1
1,0,267,227,1
0,-999,-999,315,0
0,-999,-999,280,1
0,-999,-999,394,0
0,-999,-999,355,0
0,-999,-999,323,0
1,1,50,-999,1
1,1,200,-999,1
0,-999,-999,246,1
0,-999,-999,313,1
0,-999,-999,276,0
1,0,267,260,1
0,-999,-999,326,1
0,-999,-999,304,1
1,1,133,-999,1
0,-999,-999,267,0
0,-999,-999,339,1
0,-999,-999,296,1
1,0,333,301,1
0,-999,-999,278,0
0,-999,-999,273,1
0,-999,-999,319,1
0,-999,-999,377,0
1,1,200,-999,0
0,-999,-999,344,0
0,-999,-999,347,0
0,-999,-999,234,1
0,-999,-999,453,0
0,-999,-999,219,1
1,0,400,443,0
1,0,333,221,1
0,-999,-999,336,0
0,-999,-999,275,1
0,-999,-999,224,1
0,-999,-999,256,1
0,-999,-999,240,1
1,1,133,-999,0
1,0,333,249,1
1,1,133,-999,0
1,0,333,388,1
0,-999,-999,284,0
0,-999,-999,366,0
0,-999,-999,378,0
1,0,200,248,1
1,1,50,-999,1
1,1,200,-999,0
0,-999,-999,465,0
0,-999,-999,262,1
0,-999,-999,341,0
0,-999,-999,424,0
0,-999,-999,238,1
0,-999,-999,278,0
0,-999,-999,256,1
1,0,267,256,1
0,-999,-999,303,0
1,0,200,248,1
1,1,50,-999,0
0,-999,-999,336,0
0,-999,-999,285,1
0,-999,-999,272,1
0,-999,-999,360,0
1,1,133,-999,1
1,0,333,393,0
0,-999,-999,339,1
0,-999,-999,306,1
0,-999,-999,312,1
