ss_presented,inhibited,ssd,rt,value
1,1,50,-999,1
1,0,200,228,1
0,-999,-999,236,0
0,-999,-999,287,1
1,1,50,-999,1
1,1,133,-999,0
0,-999,-999,183,1
1,0,333,389,0
0,-999,-999,309,0
1,0,200,228,1
1,1,133,-999,0
0,-999,-999,379,0
0,-999,-999,239,1
0,-999,-999,262,0
0,-999,-999,358,0
0,-999,-999,251,1
0,-999,-999,594,0
1,1,267,-999,0
0,-999,-999,293,0
1,0,483,211,1
0,-999,-999,336,0
0,-999,-999,319,0
0,-999,-999,239,1
1,0,267,302,0
0,-999,-999,248,1
0,-999,-999,471,0
1,1,200,-999,0
0,-999,-999,244,1
1,0,267,265,0
1,1,133,-999,1
0,-999,-999,309,0
0,-999,-999,374,0
0,-999,-999,300,0
0,-999,-999,617,0
1,1,50,-999,0
0,-999,-999,472,0
0,-999,-999,276,0
1,0,200,230,1
1,1,50,-999,0
1,1,200,-999,0
0,-999,-999,328,0
1,0,400,283,0
1,0,267,286,0
1,0,133,173,1
0,-999,-999,314,0
0,-999,-999,230,1
1,0,483,262,0
1,0,400,218,1
0,-999,-999,231,1
0,-999,-999,551,0
0,-999,-999,345,0
0,-999,-999,226,1
0,-999,-999,333,0
1,0,333,325,1
0,-999,-999,268,1
0,-999,-999,234,1
1,1,133,-999,1
0,-999,-999,376,0
0,-999,-999,361,0
1,0,333,333,0
0,-999,-999,237,1
0,-999,-999,278,1
0,-999,-999,482,0
0,-999,-999,256,1
0,-999,-999,347,0
0,-999,-999,374,0
0,-999,-999,308,0
0,-999,-999,329,0
0,-999,-999,244,1
1,1,133,-999,0
0,-999,-999,273,0
1,1,200,-999,0
1,0,267,326,0
0,-999,-999,265,1
0,-999,-999,262,1
1,0,200,240,1
0,-999,-999,283,1
0,-999,-999,397,0
0,-999,-999,496,0
0,-999,-999,265,1
1,1,50,-999,0
0,-999,-999,341,1
1,0,200,240,1
1,1,50,-999,0
1,0,267,236,1
1,0,200,221,1
0,-999,-999,231,1
