ss_presented,inhibited,ssd,rt,value
0,-999,-999,298,0
1,0,500,369,0
1,0,450,415,0
0,-999,-999,626,0
0,-999,-999,262,1
1,0,400,326,1
0,-999,-999,445,0
1,1,300,-999,0
0,-999,-999,323,1
0,-999,-999,350,1
0,-999,-999,224,1
1,1,400,-999,0
0,-999,-999,208,0
1,0,450,396,1
1,0,400,434,1
0,-999,-999,256,0
0,-999,-999,480,1
0,-999,-999,461,1
0,-999,-999,502,1
1,1,100,-999,1
0,-999,-999,305,0
0,-999,-999,207,1
0,-999,-999,402,1
0,-999,-999,378,1
0,-999,-999,489,0
1,0,250,355,0
0,-999,-999,341,1
1,1,100,-999,1
1,1,250,-999,0
0,-999,-999,379,1
1,0,400,373,0
1,1,250,-999,0
0,-999,-999,334,0
1,0,400,272,1
1,0,300,380,1
1,1,200,-999,0
0,-999,-999,227,1
1,0,400,340,1
1,0,300,367,0
1,1,250,-999,1
0,-999,-999,360,0
0,-999,-999,403,1
0,-999,-999,431,0
0,-999,-999,500,0
1,1,300,-999,0
0,-999,-999,218,1
0,-999,-999,543,0
0,-999,-999,365,0
1,0,350,321,1
1,1,200,-999,1
0,-999,-999,345,1
1,0,300,308,1
1,1,200,-999,0
1,0,350,297,1
1,1,300,-999,1
0,-999,-999,374,0
0,-999,-999,302,1
1,0,400,404,0
1,1,300,-999,1
0,-999,-999,244,1
0,-999,-999,379,1
0,-999,-999,412,1
0,-999,-999,373,1
0,-999,-999,414,1
1,0,400,450,0
0,-999,-999,414,1
0,-999,-999,417,0
0,-999,-999,457,0
1,1,300,-999,0
0,-999,-999,261,0
0,-999,-999,469,0
0,-999,-999,475,0
0,-999,-999,265,1
0,-999,-999,312,1
0,-999,-999,343,1
0,-999,-999,223,1
0,-999,-999,409,0
1,0,350,323,1
0,-999,-999,359,0
0,-999,-999,375,0
0,-999,-999,525,0
0,-999,-999,399,0
1,0,300,255,1
0,-999,-999,394,1
1,1,250,-999,0
0,-999,-999,247,0
0,-999,-999,387,0
1,0,300,363,1
0,-999,-999,403,0
1,1,200,-999,0
1,0,300,423,0
