ss_presented,inhibited,ssd,rt,value
0,-999,-999,277,1
1,1,133,-999,1
1,1,267,-999,1
1,0,400,365,1
0,-999,-999,338,1
0,-999,-999,355,0
0,-999,-999,468,0
0,-999,-999,463,0
0,-999,-999,294,1
0,-999,-999,311,0
0,-999,-999,266,1
0,-999,-999,332,0
0,-999,-999,244,1
0,-999,-999,266,0
1,1,200,-999,1
0,-999,-999,503,1
1,0,333,257,1
0,-999,-999,232,1
0,-999,-999,245,1
1,1,200,-999,1
1,0,400,296,0
0,-999,-999,257,0
1,0,333,371,1
0,-999,-999,375,1
0,-999,-999,453,0
0,-999,-999,303,1
0,-999,-999,249,1
0,-999,-999,378,0
0,-999,-999,320,0
1,1,200,-999,0
0,-999,-999,332,0
0,-999,-999,331,0
0,-999,-999,586,0
0,-999,-999,246,1
0,-999,-999,398,0
1,0,400,245,1
1,0,333,314,1
0,-999,-999,296,1
0,-999,-999,545,0
1,0,333,260,1
1,1,133,-999,0
0,-999,-999,367,0
1,1,267,-999,0
1,0,483,271,1
0,-999,-999,249,1
0,-999,-999,324,1
0,-999,-999,292,1
1,0,333,293,1
0,-999,-999,323,0
1,1,133,-999,0
1,0,200,269,1
0,-999,-999,256,1
1,1,50,-999,0
1,1,267,-999,1
0,-999,-999,345,1
0,-999,-999,303,0
1,0,483,306,0
1,0,400,271,1
0,-999,-999,269,1
0,-999,-999,319,0
0,-999,-999,361,0
0,-999,-999,489,0
0,-999,-999,397,0
1,0,333,394,0
0,-999,-999,247,1
0,-999,-999,272,1
1,1,50,-999,0
1,1,200,-999,0
1,0,333,238,1
1,1,200,-999,1
1,1,267,-999,0
0,-999,-999,274,0
1,0,400,253,0
0,-999,-999,273,1
1,1,200,-999,1
0,-999,-999,321,1
1,0,400,443,0
0,-999,-999,411,1
0,-999,-999,339,0
0,-999,-999,400,1
1,1,200,-999,1
0,-999,-999,453,1
1,0,267,271,0
1,1,133,-999,1
0,-999,-999,391,0
0,-999,-999,598,0
0,-999,-999,493,0
1,0,333,272,1
1,0,200,268,1
0,-999,-999,274,1
0,-999,-999,286,1
0,-999,-999,230,1
0,-999,-999,231,1
0,-999,-999,240,1
1,1,50,-999,1
1,1,200,-999,0
1,1,400,-999,0
0,-999,-999,204,1
0,-999,-999,244,1
0,-999,-999,325,1
1,0,483,229,1
1,1,333,-999,0
1,0,483,244,1
1,0,400,292,1
1,1,333,-999,0
0,-999,-999,253,1
0,-999,-999,271,1
1,0,483,257,1
1,0,400,306,0
0,-999,-999,398,0
0,-999,-999,301,1
0,-999,-999,318,1
1,1,50,-999,1
1,1,133,-999,1
0,-999,-999,424,0
1,0,483,341,1
1,1,267,-999,1
1,0,483,326,1
0,-999,-999,461,1
0,-999,-999,312,1
1,0,333,304,0
0,-999,-999,225,1
1,1,200,-999,0
0,-999,-999,275,1
1,0,267,293,1
0,-999,-999,386,1
0,-999,-999,274,1
0,-999,-999,474,0
1,1,133,-999,0
0,-999,-999,337,0
1,0,267,291,0
0,-999,-999,241,1
0,-999,-999,268,1
1,1,200,-999,0
0,-999,-999,263,1
1,0,333,254,0
0,-999,-999,302,0
0,-999,-999,334,0
0,-999,-999,238,1
1,1,50,-999,1
0,-999,-999,275,1
1,1,133,-999,0
0,-999,-999,300,1
1,0,333,393,0
0,-999,-999,384,0
0,-999,-999,285,1
0,-999,-999,272,1
0,-999,-999,359,0
