ss_presented,inhibited,ssd,rt,value
0,-999,-999,302,1
0,-999,-999,222,1
0,-999,-999,227,1
1,1,183,-999,0
1,0,383,246,1
0,-999,-999,238,1
0,-999,-999,306,0
0,-999,-999,584,0
1,1,117,-999,0
0,-999,-999,344,0
1,1,183,-999,0
0,-999,-999,235,1
0,-999,-999,247,1
0,-999,-999,462,0
1,0,383,231,1
0,-999,-999,246,1
0,-999,-999,536,0
0,-999,-999,557,0
1,1,183,-999,1
1,0,383,249,1
0,-999,-999,279,0
1,0,383,269,0
1,0,183,264,0
1,1,50,-999,1
1,1,117,-999,1
0,-999,-999,272,1
1,0,317,236,1
0,-999,-999,344,0
1,1,117,-999,0
0,-999,-999,345,0
0,-999,-999,253,1
1,1,183,-999,0
0,-999,-999,280,0
1,0,317,264,0
0,-999,-999,297,1
0,-999,-999,266,1
1,1,250,-999,1
0,-999,-999,288,1
0,-999,-999,251,0
1,1,183,-999,0
0,-999,-999,247,1
1,0,250,304,0
0,-999,-999,264,1
0,-999,-999,284,1
1,1,50,-999,0
0,-999,-999,264,0
0,-999,-999,321,1
1,0,317,234,1
0,-999,-999,371,0
0,-999,-999,281,1
0,-999,-999,480,0
0,-999,-999,298,0
0,-999,-999,292,0
0,-999,-999,328,0
1,1,117,-999,1
0,-999,-999,287,1
0,-999,-999,297,1
1,0,317,294,0
1,1,117,-999,1
1,1,250,-999,0
0,-999,-999,373,0
0,-999,-999,315,0
0,-999,-999,298,0
1,0,450,293,1
1,0,250,319,0
0,-999,-999,287,1
1,1,117,-999,0
0,-999,-999,250,1
0,-999,-999,310,1
1,1,183,-999,1
1,0,317,317,0
0,-999,-999,375,0
1,1,50,-999,0
0,-999,-999,293,1
0,-999,-999,330,1
1,0,450,271,1
0,-999,-999,276,0
0,-999,-999,334,0
1,0,383,249,0
1,0,183,185,1
0,-999,-999,210,1
0,-999,-999,605,0
0,-999,-999,220,1
1,1,117,-999,0
1,0,183,236,1
0,-999,-999,251,1
0,-999,-999,269,0
0,-999,-999,231,1
0,-999,-999,279,0
0,-999,-999,264,1
0,-999,-999,256,0
1,0,250,260,0
0,-999,-999,316,1
1,1,117,-999,1
1,0,317,316,1
1,1,183,-999,0
0,-999,-999,297,0
1,0,383,284,0
0,-999,-999,257,0
0,-999,-999,406,0
1,1,183,-999,1
0,-999,-999,307,0
0,-999,-999,523,0
1,0,317,266,1
1,0,250,263,1
1,1,183,-999,1
0,-999,-999,313,0
0,-999,-999,332,0
0,-999,-999,221,1
0,-999,-999,359,0
0,-999,-999,260,1
1,1,317,-999,0
0,-999,-999,248,1
1,0,383,258,1
0,-999,-999,342,1
1,1,50,-999,1
0,-999,-999,375,1
1,1,117,-999,0
1,1,183,-999,1
0,-999,-999,253,1
1,0,383,251,1
1,0,183,227,1
0,-999,-999,271,1
1,1,117,-999,1
0,-999,-999,367,0
0,-999,-999,366,0
0,-999,-999,240,1
0,-999,-999,282,1
1,0,317,292,0
0,-999,-999,341,0
1,1,183,-999,0
0,-999,-999,248,1
1,1,317,-999,0
0,-999,-999,236,1
0,-999,-999,330,0
0,-999,-999,243,1
0,-999,-999,263,1
1,0,383,263,0
0,-999,-999,318,1
1,0,317,273,0
1,1,50,-999,1
1,1,250,-999,1
1,0,450,258,1
1,0,250,226,1
1,1,50,-999,0
0,-999,-999,340,0
0,-999,-999,372,0
0,-999,-999,221,1
0,-999,-999,317,0
0,-999,-999,392,0
0,-999,-999,426,0
0,-999,-999,244,1
0,-999,-999,251,1
0,-999,-999,536,0
0,-999,-999,477,0
0,-999,-999,257,1
0,-999,-999,266,1
0,-999,-999,244,1
0,-999,-999,252,0
1,1,183,-999,1
1,0,450,437,1
1,1,50,-999,1
0,-999,-999,331,0
1,0,317,294,1
0,-999,-999,308,1
1,1,183,-999,0
0,-999,-999,285,1
0,-999,-999,324,0
0,-999,-999,345,0
1,0,450,292,1
0,-999,-999,331,0
1,1,317,-999,0
0,-999,-999,273,1
0,-999,-999,356,0
0,-999,-999,258,1
0,-999,-999,423,0
0,-999,-999,413,0
1,1,383,-999,1
1,0,450,495,0
0,-999,-999,693,0
0,-999,-999,424,0
0,-999,-999,274,0
0,-999,-999,319,1
0,-999,-999,241,1
1,1,117,-999,0
1,1,183,-999,0
1,0,317,270,0
1,1,117,-999,0
0,-999,-999,383,0
0,-999,-999,230,1
0,-999,-999,288,1
1,0,250,250,1
