ss_presented,inhibited,ssd,rt,value
1,1,300,-999,0
0,-999,-999,402,1
1,0,400,392,1
1,0,350,303,0
0,-999,-999,677,0
0,-999,-999,511,0
0,-999,-999,416,0
0,-999,-999,419,1
1,1,250,-999,0
0,-999,-999,301,1
0,-999,-999,353,0
0,-999,-999,286,1
0,-999,-999,493,0
0,-999,-999,261,1
0,-999,-999,395,0
0,-999,-999,220,1
1,1,350,-999,0
0,-999,-999,355,1
1,0,500,457,1
0,-999,-999,354,0
1,0,400,366,1
1,1,350,-999,1
0,-999,-999,418,0
1,1,500,-999,1
0,-999,-999,498,0
0,-999,-999,432,1
1,0,500,296,1
0,-999,-999,398,0
1,0,450,402,0
1,1,350,-999,1
1,0,500,347,0
1,0,450,350,1
1,1,300,-999,0
1,0,350,257,0
0,-999,-999,592,0
1,0,300,361,1
0,-999,-999,474,1
1,0,300,371,1
1,1,200,-999,0
0,-999,-999,371,0
1,0,250,305,0
0,-999,-999,365,1
0,-999,-999,436,1
0,-999,-999,391,1
1,1,250,-999,1
1,0,300,358,1
0,-999,-999,337,0
1,1,250,-999,1
1,0,400,351,1
1,1,150,-999,0
0,-999,-999,433,0
0,-999,-999,430,0
1,1,300,-999,1
1,0,400,452,0
0,-999,-999,408,1
0,-999,-999,418,1
1,0,350,516,0
0,-999,-999,388,1
0,-999,-999,391,1
1,1,200,-999,0
1,0,250,299,1
1,1,150,-999,1
1,1,250,-999,0
1,0,350,229,1
1,1,200,-999,0
1,0,300,231,1
0,-999,-999,375,0
0,-999,-999,435,1
0,-999,-999,377,1
0,-999,-999,430,0
0,-999,-999,388,1
0,-999,-999,311,1
1,1,100,-999,0
0,-999,-999,398,1
1,0,250,259,1
1,0,200,236,0
0,-999,-999,402,0
1,1,100,-999,0
0,-999,-999,375,0
1,1,250,-999,0
0,-999,-999,384,1
0,-999,-999,434,1
0,-999,-999,236,1
0,-999,-999,421,0
1,0,400,386,0
1,0,350,235,1
0,-999,-999,351,0
1,0,250,235,1
1,1,200,-999,0
0,-999,-999,300,0
1,0,500,411,0
1,0,350,388,1
1,1,250,-999,0
1,0,400,419,0
0,-999,-999,482,0
0,-999,-999,367,0
0,-999,-999,385,0
0,-999,-999,449,0
1,0,300,305,0
0,-999,-999,327,1
0,-999,-999,479,1
0,-999,-999,374,1
1,0,250,384,1
1,1,150,-999,1
0,-999,-999,504,0
1,0,300,215,0
0,-999,-999,456,0
1,1,250,-999,1
0,-999,-999,335,1
1,0,350,390,0
0,-999,-999,413,0
0,-999,-999,429,0
1,1,250,-999,0
0,-999,-999,395,1
1,0,400,399,0
0,-999,-999,412,1
1,0,350,432,0
1,0,350,413,0
0,-999,-999,422,1
0,-999,-999,381,1
1,1,250,-999,0
0,-999,-999,398,1
0,-999,-999,245,1
1,0,350,429,0
0,-999,-999,481,0
0,-999,-999,301,1
1,0,250,319,1
0,-999,-999,413,0
0,-999,-999,225,1
0,-999,-999,441,0
0,-999,-999,399,0
1,0,150,211,1
1,1,100,-999,0
1,1,150,-999,0
1,0,200,233,1
0,-999,-999,387,0
0,-999,-999,463,1
0,-999,-999,410,1
0,-999,-999,477,0
0,-999,-999,419,0
1,1,100,-999,1
1,1,200,-999,0
0,-999,-999,399,0
1,0,300,397,1
0,-999,-999,396,0
0,-999,-999,231,1
0,-999,-999,260,1
0,-999,-999,243,0
1,1,100,-999,0
0,-999,-999,430,1
1,1,150,-999,1
0,-999,-999,397,0
0,-999,-999,371,1
1,0,300,438,1
1,1,150,-999,1
0,-999,-999,472,1
0,-999,-999,464,1
0,-999,-999,471,0
0,-999,-999,391,0
0,-999,-999,349,1
0,-999,-999,478,1
0,-999,-999,489,0
1,1,200,-999,1
1,0,300,368,1
0,-999,-999,402,0
0,-999,-999,405,0
0,-999,-999,388,0
1,1,200,-999,1
0,-999,-999,349,1
0,-999,-999,497,0
0,-999,-999,527,0
0,-999,-999,285,1
1,1,300,-999,0
1,0,400,382,1
0,-999,-999,583,1
0,-999,-999,526,0
0,-999,-999,221,1
1,0,300,289,1
1,0,150,200,1
1,1,100,-999,0
0,-999,-999,378,0
1,1,250,-999,1
0,-999,-999,401,0
1,0,400,397,1
0,-999,-999,352,1
1,1,250,-999,0
1,0,400,342,1
0,-999,-999,383,0
1,1,250,-999,0
