ss_presented,inhibited,ssd,rt,value
0,-999,-999,326,1
1,1,150,-999,1
1,1,250,-999,0
1,0,400,413,1
1,0,250,333,0
1,1,100,-999,1
0,-999,-999,301,1
1,1,150,-999,1
1,1,300,-999,0
1,0,450,279,1
0,-999,-999,315,0
0,-999,-999,457,0
1,0,400,332,1
0,-999,-999,526,1
1,0,250,251,1
1,1,200,-999,1
1,0,300,406,0
0,-999,-999,249,1
1,1,150,-999,0
1,0,200,266,0
0,-999,-999,404,0
1,1,150,-999,0
0,-999,-999,287,1
0,-999,-999,402,0
1,0,300,310,1
1,1,150,-999,1
1,0,300,366,0
1,0,150,539,0
0,-999,-999,408,0
0,-999,-999,465,0
0,-999,-999,273,1
0,-999,-999,400,1
0,-999,-999,458,0
0,-999,-999,432,1
1,1,100,-999,0
0,-999,-999,428,1
0,-999,-999,366,1
1,1,200,-999,0
0,-999,-999,440,1
0,-999,-999,421,0
1,0,300,412,0
0,-999,-999,244,1
0,-999,-999,295,1
0,-999,-999,405,0
1,1,250,-999,0
0,-999,-999,489,0
0,-999,-999,418,0
0,-999,-999,416,0
0,-999,-999,379,0
1,0,400,266,0
0,-999,-999,370,0
0,-999,-999,406,0
0,-999,-999,427,0
0,-999,-999,236,1
1,0,300,302,1
1,1,250,-999,1
0,-999,-999,263,1
1,1,350,-999,0
0,-999,-999,254,0
0,-999,-999,456,0
0,-999,-999,305,1
1,0,450,405,1
1,0,300,418,1
1,1,200,-999,0
0,-999,-999,335,0
0,-999,-999,398,0
1,1,250,-999,0
0,-999,-999,423,0
0,-999,-999,623,0
1,0,400,466,0
0,-999,-999,271,0
0,-999,-999,240,1
0,-999,-999,254,1
0,-999,-999,445,0
0,-999,-999,424,0
0,-999,-999,422,0
1,0,350,458,0
1,0,300,280,1
0,-999,-999,237,0
0,-999,-999,385,0
1,0,150,225,1
1,1,100,-999,1
1,1,250,-999,0
1,0,400,381,1
0,-999,-999,359,0
1,0,350,373,1
1,1,200,-999,0
0,-999,-999,452,1
0,-999,-999,425,1
0,-999,-999,438,0
1,0,300,381,1
1,1,100,-999,1
0,-999,-999,456,0
0,-999,-999,420,0
0,-999,-999,478,1
1,1,150,-999,1
1,0,300,341,1
1,1,250,-999,0
0,-999,-999,336,1
1,1,350,-999,0
1,0,450,415,1
1,0,300,257,0
1,1,150,-999,1
0,-999,-999,349,1
1,1,200,-999,1
1,1,250,-999,0
0,-999,-999,314,1
0,-999,-999,385,0
0,-999,-999,397,0
0,-999,-999,630,0
1,0,350,402,0
0,-999,-999,422,0
1,0,200,232,1
1,1,100,-999,0
0,-999,-999,465,1
0,-999,-999,495,0
1,1,250,-999,0
0,-999,-999,296,0
0,-999,-999,451,0
1,1,300,-999,0
0,-999,-999,390,0
1,0,450,389,0
0,-999,-999,475,0
0,-999,-999,242,1
1,0,350,247,0
0,-999,-999,436,1
0,-999,-999,416,0
0,-999,-999,319,1
1,1,250,-999,0
0,-999,-999,397,0
0,-999,-999,449,0
0,-999,-999,452,0
0,-999,-999,469,1
0,-999,-999,363,1
1,0,400,369,1
0,-999,-999,364,0
0,-999,-999,413,1
1,0,350,404,1
0,-999,-999,409,0
1,1,300,-999,0
0,-999,-999,442,0
1,0,350,418,1
0,-999,-999,429,1
0,-999,-999,380,1
0,-999,-999,302,1
0,-999,-999,387,1
0,-999,-999,368,1
1,1,250,-999,0
0,-999,-999,428,0
1,1,300,-999,0
0,-999,-999,289,1
1,1,400,-999,0
0,-999,-999,509,0
0,-999,-999,418,1
0,-999,-999,220,1
0,-999,-999,537,0
0,-999,-999,398,0
1,0,450,337,1
0,-999,-999,505,1
0,-999,-999,392,1
0,-999,-999,437,1
1,0,400,394,0
0,-999,-999,474,0
0,-999,-999,446,0
0,-999,-999,409,0
0,-999,-999,325,1
1,0,300,262,1
0,-999,-999,371,1
1,1,150,-999,0
0,-999,-999,465,0
0,-999,-999,243,1
0,-999,-999,465,0
0,-999,-999,443,0
1,0,200,257,1
0,-999,-999,375,1
1,1,150,-999,1
1,1,200,-999,1
1,1,350,-999,0
1,0,400,422,0
0,-999,-999,435,0
0,-999,-999,410,0
0,-999,-999,261,1
1,0,250,328,1
0,-999,-999,415,1
1,1,150,-999,1
1,1,250,-999,0
0,-999,-999,372,1
0,-999,-999,288,1
0,-999,-999,298,1
0,-999,-999,270,1
1,0,400,328,1
1,0,250,310,1
1,1,150,-999,0
0,-999,-999,399,0
0,-999,-999,293,1
0,-999,-999,525,0
1,0,200,241,1
0,-999,-999,458,0
0,-999,-999,228,1
1,1,100,-999,1
0,-999,-999,449,0
0,-999,-999,272,1
1,0,250,286,1
0,-999,-999,486,1
0,-999,-999,363,1
0,-999,-999,351,1
1,1,200,-999,1
1,1,250,-999,0
0,-999,-999,445,0
0,-999,-999,428,0
1,0,400,404,1
0,-999,-999,416,1
1,1,250,-999,0
0,-999,-999,263,0
0,-999,-999,486,0
0,-999,-999,341,1
0,-999,-999,387,0
0,-999,-999,469,0
1,0,300,368,1
1,1,250,-999,1
0,-999,-999,390,0
0,-999,-999,360,1
1,1,350,-999,0
1,0,500,295,0
1,0,350,431,0
1,1,300,-999,0
0,-999,-999,371,0
0,-999,-999,418,0
1,1,350,-999,0
0,-999,-999,381,0
0,-999,-999,351,1
1,0,450,403,0
0,-999,-999,460,0
1,0,350,246,1
0,-999,-999,435,1
0,-999,-999,295,1
1,1,250,-999,0
0,-999,-999,369,0
0,-999,-999,256,0
0,-999,-999,347,1
0,-999,-999,392,1
1,0,400,508,0
1,1,300,-999,0
1,0,450,469,0
