ss_presented,inhibited,ssd,rt,value
1,0,300,312,0
0,-999,-999,378,1
1,1,150,-999,0
0,-999,-999,345,0
0,-999,-999,349,0
0,-999,-999,441,0
1,0,200,220,1
1,1,150,-999,0
0,-999,-999,395,0
0,-999,-999,239,1
1,0,250,196,1
0,-999,-999,402,1
1,1,150,-999,1
0,-999,-999,346,0
0,-999,-999,305,1
0,-999,-999,412,0
0,-999,-999,216,1
1,1,150,-999,0
1,0,250,218,1
1,1,150,-999,1
0,-999,-999,274,1
0,-999,-999,311,1
0,-999,-999,341,0
0,-999,-999,318,0
1,0,300,302,1
0,-999,-999,468,1
0,-999,-999,379,1
1,1,250,-999,0
0,-999,-999,294,0
0,-999,-999,246,1
0,-999,-999,346,0
0,-999,-999,427,0
1,0,350,426,0
0,-999,-999,363,1
0,-999,-999,425,0
0,-999,-999,419,0
0,-999,-999,235,1
0,-999,-999,371,1
0,-999,-999,377,1
1,0,350,397,0
0,-999,-999,192,1
1,0,250,253,1
1,1,150,-999,1
1,1,250,-999,0
0,-999,-999,329,0
1,0,400,500,0
0,-999,-999,393,0
1,1,300,-999,0
1,0,350,490,0
1,0,250,260,1
0,-999,-999,368,1
1,0,200,226,1
0,-999,-999,374,0
0,-999,-999,424,0
0,-999,-999,297,1
1,1,100,-999,1
1,0,250,202,1
1,1,100,-999,1
1,0,250,303,1
1,1,100,-999,0
1,0,200,278,0
1,1,150,-999,0
0,-999,-999,505,0
1,1,300,-999,0
0,-999,-999,289,0
1,0,400,247,1
0,-999,-999,379,1
0,-999,-999,260,1
0,-999,-999,494,0
0,-999,-999,464,0
0,-999,-999,566,0
1,1,300,-999,1
0,-999,-999,365,0
0,-999,-999,369,0
0,-999,-999,394,0
0,-999,-999,458,0
1,0,400,530,0
0,-999,-999,189,1
1,1,300,-999,0
1,0,450,320,1
0,-999,-999,338,0
0,-999,-999,422,0
0,-999,-999,404,0
0,-999,-999,453,0
0,-999,-999,453,0
1,1,350,-999,0
1,0,400,273,1
0,-999,-999,341,0
0,-999,-999,266,1
1,1,350,-999,0
0,-999,-999,384,1
0,-999,-999,370,1
0,-999,-999,299,1
0,-999,-999,475,0
0,-999,-999,447,0
0,-999,-999,282,1
1,0,500,483,0
0,-999,-999,309,1
0,-999,-999,428,0
1,0,450,265,1
1,0,300,424,0
0,-999,-999,507,0
0,-999,-999,404,1
1,1,200,-999,0
0,-999,-999,388,1
1,0,350,421,0
0,-999,-999,220,1
0,-999,-999,406,0
1,1,150,-999,0
0,-999,-999,357,0
0,-999,-999,386,1
0,-999,-999,289,0
1,0,250,335,0
1,1,100,-999,0
0,-999,-999,263,1
1,1,200,-999,0
0,-999,-999,484,0
1,1,250,-999,0
0,-999,-999,271,1
0,-999,-999,248,1
0,-999,-999,388,1
1,0,350,370,0
1,0,300,406,1
1,1,200,-999,1
0,-999,-999,289,1
1,0,250,245,1
0,-999,-999,198,1
0,-999,-999,411,0
1,1,250,-999,0
1,1,350,-999,0
1,0,450,252,1
1,1,300,-999,0
0,-999,-999,358,0
1,0,350,289,1
0,-999,-999,236,1
1,1,300,-999,1
1,0,400,438,1
0,-999,-999,309,0
1,0,300,402,0
0,-999,-999,436,0
1,0,250,306,1
0,-999,-999,426,0
1,1,150,-999,0
0,-999,-999,326,1
0,-999,-999,480,0
1,0,250,249,1
0,-999,-999,253,0
0,-999,-999,436,1
0,-999,-999,438,0
0,-999,-999,400,0
0,-999,-999,322,1
0,-999,-999,328,1
0,-999,-999,316,1
1,1,150,-999,0
1,0,300,413,0
0,-999,-999,453,1
0,-999,-999,247,1
1,1,150,-999,0
1,0,300,344,0
0,-999,-999,268,1
1,1,200,-999,0
0,-999,-999,389,0
0,-999,-999,428,0
0,-999,-999,279,1
1,0,300,387,1
0,-999,-999,340,1
0,-999,-999,288,0
0,-999,-999,422,0
1,1,150,-999,0
0,-999,-999,312,1
1,1,300,-999,0
1,0,350,259,1
0,-999,-999,393,0
1,0,200,289,1
0,-999,-999,332,0
0,-999,-999,453,0
0,-999,-999,383,0
0,-999,-999,431,0
1,1,100,-999,0
0,-999,-999,481,0
1,1,250,-999,0
1,0,400,421,0
1,0,350,240,1
0,-999,-999,416,0
1,1,300,-999,1
1,1,400,-999,0
1,0,500,276,1
0,-999,-999,335,0
0,-999,-999,318,0
1,0,350,206,1
1,1,300,-999,1
0,-999,-999,327,1
1,1,400,-999,0
0,-999,-999,261,0
0,-999,-999,340,1
0,-999,-999,257,1
0,-999,-999,342,1
0,-999,-999,436,0
0,-999,-999,441,0
1,0,500,375,0
0,-999,-999,355,1
1,0,450,411,0
1,0,400,241,1
0,-999,-999,311,0
0,-999,-999,438,1
0,-999,-999,452,1
0,-999,-999,295,1
0,-999,-999,482,0
1,1,100,-999,1
0,-999,-999,419,0
1,0,150,213,0
1,0,100,279,1
1,1,100,-999,0
1,0,250,210,0
0,-999,-999,378,0
0,-999,-999,445,0
0,-999,-999,421,0
0,-999,-999,242,1
0,-999,-999,466,0
0,-999,-999,301,1
0,-999,-999,453,0
1,0,200,311,1
1,1,150,-999,0
0,-999,-999,331,0
0,-999,-999,361,1
0,-999,-999,264,1
0,-999,-999,471,0
1,1,250,-999,0
1,0,400,288,1
0,-999,-999,426,0
0,-999,-999,295,1
0,-999,-999,366,1
1,0,250,275,0
0,-999,-999,605,0
1,1,150,-999,1
0,-999,-999,453,0
1,1,200,-999,0
0,-999,-999,289,1
1,0,250,260,1
1,1,200,-999,1
0,-999,-999,398,0
0,-999,-999,441,0
1,0,300,343,1
0,-999,-999,453,1
1,1,250,-999,0
1,0,300,274,1
0,-999,-999,412,1
1,1,250,-999,1
1,1,300,-999,1
0,-999,-999,394,0
0,-999,-999,395,1
0,-999,-999,299,0
0,-999,-999,426,0
1,0,450,208,1
1,0,400,352,0
0,-999,-999,509,0
1,1,250,-999,1
1,0,350,419,0
0,-999,-999,275,1
0,-999,-999,480,1
0,-999,-999,308,1
0,-999,-999,402,1
0,-999,-999,354,1
1,1,150,-999,0
1,1,200,-999,0
0,-999,-999,226,1
1,0,300,329,1
0,-999,-999,409,0
0,-999,-999,473,0
0,-999,-999,572,0
1,1,100,-999,1
0,-999,-999,442,0
1,1,150,-999,0
0,-999,-999,566,0
1,1,250,-999,0
0,-999,-999,340,0
1,1,350,-999,0
0,-999,-999,381,0
0,-999,-999,280,1
1,0,450,397,1
0,-999,-999,483,0
0,-999,-999,434,0
0,-999,-999,424,1
1,0,400,328,1
0,-999,-999,424,1
0,-999,-999,260,1
0,-999,-999,339,1
0,-999,-999,453,0
0,-999,-999,405,0
0,-999,-999,500,0
0,-999,-999,472,0
0,-999,-999,295,1
1,1,250,-999,0
1,0,400,305,1
0,-999,-999,320,0
1,0,350,331,1
0,-999,-999,401,0
1,1,200,-999,1
0,-999,-999,383,0
0,-999,-999,401,0
1,0,250,229,1
0,-999,-999,218,0
1,1,100,-999,0
0,-999,-999,384,1
0,-999,-999,526,0
0,-999,-999,216,1
1,1,200,-999,0
0,-999,-999,337,1
0,-999,-999,344,1
0,-999,-999,427,0
0,-999,-999,446,0
0,-999,-999,263,1
0,-999,-999,470,0
1,1,300,-999,0
0,-999,-999,465,0
1,0,450,295,1
0,-999,-999,261,0
1,0,400,356,1
1,0,350,374,0
0,-999,-999,488,0
0,-999,-999,274,1
1,1,200,-999,1
0,-999,-999,348,1
1,1,250,-999,0
0,-999,-999,431,0
0,-999,-999,361,0
0,-999,-999,236,1
0,-999,-999,447,0
0,-999,-999,241,0
1,0,350,302,1
0,-999,-999,314,1
0,-999,-999,196,1
0,-999,-999,449,0
0,-999,-999,461,0
1,1,150,-999,0
1,1,200,-999,0
1,0,350,358,0
0,-999,-999,477,0
1,1,200,-999,0
0,-999,-999,419,0
1,1,300,-999,0
1,0,350,384,0
1,0,250,252,1
1,0,250,268,1
0,-999,-999,472,1
1,1,100,-999,0
0,-999,-999,187,1
0,-999,-999,470,1
1,0,350,770,0
1,0,350,475,0
1,1,200,-999,0
0,-999,-999,223,1
1,0,350,395,1
0,-999,-999,264,0
1,0,300,386,0
0,-999,-999,363,0
0,-999,-999,350,1
0,-999,-999,327,1
1,1,150,-999,0
0,-999,-999,472,0
1,1,250,-999,0
1,0,350,358,0
1,1,300,-999,0
0,-999,-999,336,0
0,-999,-999,372,1
1,0,500,504,0
0,-999,-999,429,0
1,0,450,449,0
1,1,300,-999,0
0,-999,-999,249,1
0,-999,-999,287,1
0,-999,-999,285,1
0,-999,-999,244,1
0,-999,-999,327,1
0,-999,-999,538,0
1,0,400,469,0
1,1,300,-999,0
1,0,350,410,0
0,-999,-999,290,1
0,-999,-999,480,1
0,-999,-999,465,0
1,1,300,-999,1
1,0,350,418,0
0,-999,-999,545,0
1,1,300,-999,0
1,0,450,336,1
0,-999,-999,244,0
0,-999,-999,542,0
1,0,300,314,1
0,-999,-999,461,0
0,-999,-999,375,0
0,-999,-999,238,1
0,-999,-999,537,0
0,-999,-999,476,0
1,0,300,283,1
0,-999,-999,352,1
1,1,200,-999,1
0,-999,-999,541,0
0,-999,-999,262,1
0,-999,-999,465,0
0,-999,-999,225,1
1,1,300,-999,0
1,0,450,450,0
1,0,400,270,1
0,-999,-999,438,1
1,1,250,-999,1
0,-999,-999,368,1
0,-999,-999,438,0
1,0,400,542,1
0,-999,-999,340,0
0,-999,-999,311,1
0,-999,-999,533,0
0,-999,-999,248,1
1,0,350,471,0
0,-999,-999,279,0
0,-999,-999,285,1
0,-999,-999,477,1
0,-999,-999,352,1
0,-999,-999,278,1
1,1,200,-999,1
0,-999,-999,352,0
1,0,250,314,1
1,1,200,-999,0
0,-999,-999,332,1
0,-999,-999,470,0
0,-999,-999,459,0
1,0,250,370,1
1,0,250,278,0
1,1,150,-999,0
0,-999,-999,329,1
0,-999,-999,386,1
1,1,250,-999,0
0,-999,-999,295,0
1,0,350,199,1
0,-999,-999,468,0
0,-999,-999,302,1
0,-999,-999,353,0
0,-999,-999,435,1
0,-999,-999,466,0
1,1,300,-999,0
0,-999,-999,443,0
1,0,400,434,0
0,-999,-999,438,1
0,-999,-999,437,0
1,0,400,271,1
0,-999,-999,357,0
1,0,200,310,1
0,-999,-999,458,1
1,1,100,-999,0
0,-999,-999,445,1
1,1,200,-999,0
0,-999,-999,500,0
0,-999,-999,262,1
1,0,300,302,1
1,1,250,-999,0
0,-999,-999,296,0
0,-999,-999,221,1
0,-999,-999,308,1
0,-999,-999,373,1
0,-999,-999,461,0
1,0,350,391,0
0,-999,-999,460,0
0,-999,-999,271,0
0,-999,-999,372,1
0,-999,-999,542,0
1,0,300,256,1
1,1,200,-999,1
1,0,250,355,0
1,1,100,-999,1
1,1,150,-999,0
0,-999,-999,278,1
1,1,250,-999,0
1,0,300,252,0
1,0,150,302,1
1,1,100,-999,1
0,-999,-999,393,1
0,-999,-999,321,1
1,1,150,-999,1
0,-999,-999,370,0
0,-999,-999,376,0
0,-999,-999,480,1
0,-999,-999,398,1
0,-999,-999,464,1
0,-999,-999,411,0
0,-999,-999,358,0
1,1,150,-999,1
0,-999,-999,345,0
1,1,200,-999,0
0,-999,-999,465,0
0,-999,-999,483,0
0,-999,-999,480,1
1,0,350,498,0
1,0,300,272,1
1,1,200,-999,0
0,-999,-999,292,0
1,1,300,-999,0
0,-999,-999,252,1
1,0,350,285,1
0,-999,-999,389,0
0,-999,-999,516,1
1,0,300,271,0
1,1,250,-999,0
0,-999,-999,485,0
0,-999,-999,502,0
1,0,350,426,0
1,1,250,-999,0
1,0,400,298,1
1,0,250,271,0
0,-999,-999,208,0
0,-999,-999,487,0
1,0,200,226,1
0,-999,-999,555,1
0,-999,-999,400,0
0,-999,-999,377,0
1,0,100,295,1
1,1,100,-999,1
0,-999,-999,436,0
0,-999,-999,412,0
1,1,150,-999,0
1,0,400,416,1
0,-999,-999,324,1
1,1,400,-999,0
0,-999,-999,413,0
0,-999,-999,523,0
0,-999,-999,307,1
0,-999,-999,266,1
0,-999,-999,359,1
1,1,500,-999,0
1,0,500,287,1
0,-999,-999,425,1
1,0,400,354,1
1,0,250,299,1
0,-999,-999,217,1
0,-999,-999,525,0
0,-999,-999,406,0
1,1,150,-999,1
1,0,250,356,1
1,1,100,-999,1
1,1,250,-999,0
1,0,250,263,0
0,-999,-999,424,0
0,-999,-999,249,0
0,-999,-999,201,1
1,0,100,162,0
1,1,100,-999,1
0,-999,-999,231,1
0,-999,-999,342,0
0,-999,-999,317,1
1,0,200,400,0
0,-999,-999,414,0
0,-999,-999,282,1
0,-999,-999,380,0
0,-999,-999,412,0
0,-999,-999,343,0
1,1,200,-999,0
0,-999,-999,396,0
1,0,200,217,0
1,1,100,-999,1
0,-999,-999,251,1
0,-999,-999,397,0
0,-999,-999,215,1
1,0,200,239,1
1,1,100,-999,0
1,1,150,-999,0
1,0,200,216,1
0,-999,-999,417,0
0,-999,-999,274,0
0,-999,-999,397,0
1,1,100,-999,0
0,-999,-999,391,1
1,0,250,256,0
1,0,200,219,1
1,1,150,-999,1
0,-999,-999,349,1
0,-999,-999,199,1
0,-999,-999,328,1
0,-999,-999,479,0
0,-999,-999,408,0
0,-999,-999,379,1
0,-999,-999,269,0
0,-999,-999,294,0
0,-999,-999,344,0
1,1,250,-999,0
0,-999,-999,538,1
0,-999,-999,231,0
1,0,400,302,0
0,-999,-999,371,1
0,-999,-999,302,1
0,-999,-999,288,1
1,1,250,-999,0
0,-999,-999,465,0
1,0,300,262,0
1,0,250,318,0
1,1,100,-999,0
1,0,250,224,1
1,0,150,236,0
0,-999,-999,386,1
0,-999,-999,370,0
1,1,100,-999,1
0,-999,-999,327,1
0,-999,-999,279,1
1,1,200,-999,0
0,-999,-999,335,0
0,-999,-999,482,0
0,-999,-999,419,0
0,-999,-999,244,1
1,0,350,313,1
0,-999,-999,412,1
0,-999,-999,412,1
0,-999,-999,335,1
0,-999,-999,439,0
1,1,300,-999,0
0,-999,-999,388,0
0,-999,-999,326,1
0,-999,-999,426,1
1,0,400,468,0
0,-999,-999,290,1
0,-999,-999,450,1
1,1,350,-999,0
0,-999,-999,264,0
0,-999,-999,413,0
1,0,500,290,1
0,-999,-999,267,0
1,0,350,418,0
0,-999,-999,331,1
1,0,300,362,0
0,-999,-999,338,0
1,1,150,-999,0
0,-999,-999,507,0
0,-999,-999,444,0
0,-999,-999,457,0
1,1,250,-999,0
0,-999,-999,540,0
0,-999,-999,276,1
0,-999,-999,481,0
1,0,350,273,1
0,-999,-999,264,1
0,-999,-999,243,1
1,0,200,267,1
