ss_presented,inhibited,ssd,rt,value
0,-999,-999,222,0
0,-999,-999,257,1
1,0,300,250,1
0,-999,-999,380,1
0,-999,-999,234,1
0,-999,-999,263,1
0,-999,-999,397,0
1,0,250,271,1
0,-999,-999,306,1
0,-999,-999,318,1
1,1,200,-999,0
0,-999,-999,373,0
1,0,300,243,1
0,-999,-999,278,1
1,1,150,-999,0
0,-999,-999,365,0
0,-999,-999,265,1
0,-999,-999,384,0
0,-999,-999,243,1
1,1,83,-999,0
1,1,150,-999,1
0,-999,-999,190,1
0,-999,-999,240,1
0,-999,-999,258,1
0,-999,-999,404,0
0,-999,-999,416,0
0,-999,-999,248,1
0,-999,-999,264,1
0,-999,-999,328,0
1,1,200,-999,0
0,-999,-999,239,1
1,0,367,277,0
1,0,367,289,0
1,0,367,252,1
0,-999,-999,284,0
1,1,250,-999,0
1,0,300,297,0
1,0,250,241,1
0,-999,-999,310,1
0,-999,-999,234,1
0,-999,-999,335,0
1,1,83,-999,0
1,1,150,-999,1
0,-999,-999,245,1
0,-999,-999,283,1
0,-999,-999,386,0
0,-999,-999,326,0
0,-999,-999,358,1
0,-999,-999,255,1
0,-999,-999,352,0
0,-999,-999,250,1
0,-999,-999,248,1
0,-999,-999,391,0
0,-999,-999,386,0
1,1,200,-999,0
1,0,300,231,1
0,-999,-999,270,1
1,1,150,-999,0
1,0,250,264,1
0,-999,-999,267,1
1,1,150,-999,1
0,-999,-999,276,1
0,-999,-999,388,0
0,-999,-999,360,0
0,-999,-999,251,1
0,-999,-999,236,0
0,-999,-999,273,1
0,-999,-999,240,1
1,1,250,-999,1
0,-999,-999,250,0
0,-999,-999,293,0
0,-999,-999,386,0
0,-999,-999,341,0
0,-999,-999,244,1
1,0,300,253,1
0,-999,-999,256,1
1,0,200,225,1
0,-999,-999,356,0
1,1,83,-999,1
0,-999,-999,241,1
1,1,150,-999,1
0,-999,-999,401,0
0,-999,-999,383,0
0,-999,-999,331,0
1,0,300,368,0
0,-999,-999,243,1
0,-999,-999,368,0
0,-999,-999,226,0
1,1,150,-999,1
1,0,200,256,1
1,1,83,-999,0
0,-999,-999,246,1
0,-999,-999,266,1
0,-999,-999,261,1
0,-999,-999,410,0
0,-999,-999,253,1
0,-999,-999,283,1
1,1,250,-999,0
0,-999,-999,258,1
0,-999,-999,237,0
0,-999,-999,391,0
0,-999,-999,336,0
0,-999,-999,397,0
0,-999,-999,438,0
0,-999,-999,446,0
1,1,200,-999,0
1,0,300,246,1
0,-999,-999,257,1
0,-999,-999,399,0
1,1,200,-999,1
0,-999,-999,451,0
0,-999,-999,236,1
0,-999,-999,426,0
0,-999,-999,254,0
0,-999,-999,254,1
1,0,250,241,1
0,-999,-999,437,0
1,1,83,-999,0
0,-999,-999,409,0
0,-999,-999,248,1
0,-999,-999,332,0
0,-999,-999,233,1
0,-999,-999,247,1
0,-999,-999,240,1
1,1,150,-999,1
0,-999,-999,319,0
1,0,250,235,1
1,1,150,-999,1
0,-999,-999,328,1
0,-999,-999,242,1
0,-999,-999,260,1
0,-999,-999,490,0
0,-999,-999,256,1
0,-999,-999,418,0
0,-999,-999,277,1
0,-999,-999,354,0
0,-999,-999,329,0
0,-999,-999,422,0
1,0,300,247,1
0,-999,-999,473,0
0,-999,-999,396,0
1,1,200,-999,1
0,-999,-999,629,0
1,0,300,244,1
1,1,150,-999,1
1,1,250,-999,0
0,-999,-999,391,1
1,0,300,349,0
1,0,250,271,1
0,-999,-999,238,1
0,-999,-999,260,1
0,-999,-999,391,0
0,-999,-999,258,1
0,-999,-999,388,0
0,-999,-999,245,1
1,1,150,-999,0
1,1,250,-999,0
0,-999,-999,380,0
0,-999,-999,341,0
0,-999,-999,250,1
0,-999,-999,249,1
1,0,300,270,1
1,1,150,-999,0
0,-999,-999,267,1
0,-999,-999,317,0
0,-999,-999,256,0
1,0,250,247,1
0,-999,-999,593,0
0,-999,-999,499,0
1,1,200,-999,1
0,-999,-999,425,0
