ss_presented,inhibited,ssd,rt,value
0,-999,-999,554,1
1,0,300,363,1
1,1,250,-999,0
1,0,300,351,0
0,-999,-999,665,0
1,1,150,-999,1
0,-999,-999,436,0
1,1,200,-999,0
1,0,300,334,1
0,-999,-999,398,1
0,-999,-999,454,1
0,-999,-999,433,0
0,-999,-999,298,1
1,1,200,-999,1
0,-999,-999,346,1
0,-999,-999,482,1
1,0,350,490,0
0,-999,-999,406,0
1,1,250,-999,1
0,-999,-999,412,0
1,0,350,378,1
1,0,300,442,0
0,-999,-999,493,1
1,1,150,-999,0
0,-999,-999,463,0
1,1,300,-999,0
1,0,450,402,0
0,-999,-999,270,0
0,-999,-999,259,1
1,1,300,-999,1
1,1,400,-999,1
1,0,450,449,1
1,0,450,384,0
0,-999,-999,431,1
1,0,300,377,0
1,1,250,-999,0
1,0,350,434,1
1,0,300,414,0
0,-999,-999,567,0
0,-999,-999,296,1
0,-999,-999,423,1
0,-999,-999,465,1
0,-999,-999,457,0
0,-999,-999,294,0
1,0,200,311,0
1,1,100,-999,1
1,1,250,-999,0
1,0,400,444,1
0,-999,-999,395,1
0,-999,-999,432,0
1,1,350,-999,0
0,-999,-999,396,0
0,-999,-999,444,0
1,0,450,323,0
0,-999,-999,422,1
0,-999,-999,316,1
1,0,400,410,1
1,1,250,-999,1
0,-999,-999,371,0
1,0,350,414,1
1,1,250,-999,0
0,-999,-999,373,1
0,-999,-999,363,0
0,-999,-999,305,1
0,-999,-999,539,1
0,-999,-999,454,0
0,-999,-999,408,1
0,-999,-999,409,1
1,1,300,-999,1
0,-999,-999,382,1
1,0,350,522,0
0,-999,-999,442,1
1,1,200,-999,0
0,-999,-999,271,1
1,0,400,259,1
0,-999,-999,431,1
1,0,350,461,0
0,-999,-999,521,0
0,-999,-999,285,1
0,-999,-999,415,1
1,1,300,-999,0
1,0,350,426,1
0,-999,-999,415,0
1,1,250,-999,1
0,-999,-999,372,0
0,-999,-999,302,1
1,0,400,388,0
0,-999,-999,401,0
1,1,250,-999,0
0,-999,-999,385,0
0,-999,-999,357,0
1,1,300,-999,1
0,-999,-999,456,0
1,0,350,406,1
0,-999,-999,374,1
1,1,200,-999,1
0,-999,-999,523,0
1,0,350,425,1
0,-999,-999,431,1
1,1,200,-999,0
1,0,300,431,0
1,1,200,-999,1
0,-999,-999,399,0
1,0,450,284,0
1,0,300,348,1
0,-999,-999,221,1
1,1,150,-999,0
1,0,300,419,0
1,1,200,-999,0
0,-999,-999,415,0
1,1,250,-999,0
1,0,400,403,1
0,-999,-999,432,1
0,-999,-999,481,1
0,-999,-999,371,1
0,-999,-999,469,0
0,-999,-999,287,0
0,-999,-999,268,1
1,1,350,-999,1
0,-999,-999,452,1
0,-999,-999,416,1
0,-999,-999,420,0
0,-999,-999,317,1
0,-999,-999,319,1
0,-999,-999,421,1
0,-999,-999,390,1
0,-999,-999,396,0
1,0,400,356,0
1,1,250,-999,0
0,-999,-999,395,0
1,0,350,391,0
0,-999,-999,457,0
1,0,250,298,1
1,1,150,-999,0
0,-999,-999,262,1
0,-999,-999,426,1
0,-999,-999,389,0
1,1,200,-999,1
0,-999,-999,362,0
0,-999,-999,278,1
0,-999,-999,262,0
0,-999,-999,403,1
0,-999,-999,427,1
0,-999,-999,360,1
0,-999,-999,499,1
0,-999,-999,352,0
0,-999,-999,427,0
1,0,300,378,1
0,-999,-999,452,0
0,-999,-999,392,1
0,-999,-999,429,0
