ss_presented,inhibited,ssd,rt,value
0,-999,-999,342,1
1,0,400,265,1
0,-999,-999,371,1
0,-999,-999,317,0
0,-999,-999,296,0
1,0,350,201,1
1,1,100,-999,1
0,-999,-999,408,1
1,0,200,285,0
1,1,100,-999,0
1,0,250,269,0
1,0,200,262,1
0,-999,-999,297,1
0,-999,-999,284,1
0,-999,-999,375,1
0,-999,-999,259,1
1,1,100,-999,0
0,-999,-999,278,0
0,-999,-999,238,1
0,-999,-999,362,0
1,0,150,265,1
0,-999,-999,261,0
1,1,100,-999,0
0,-999,-999,245,0
1,1,150,-999,0
0,-999,-999,203,1
0,-999,-999,278,1
0,-999,-999,362,0
1,0,300,366,0
0,-999,-999,461,0
0,-999,-999,285,0
0,-999,-999,279,0
1,1,200,-999,0
0,-999,-999,225,1
0,-999,-999,388,0
1,0,300,244,1
0,-999,-999,269,1
0,-999,-999,375,1
0,-999,-999,329,1
0,-999,-999,341,1
1,0,300,318,1
1,1,250,-999,0
0,-999,-999,308,0
0,-999,-999,260,1
0,-999,-999,306,1
1,1,300,-999,0
0,-999,-999,327,0
0,-999,-999,310,1
1,0,350,411,0
0,-999,-999,620,0
1,0,250,239,1
0,-999,-999,346,1
1,0,200,290,0
0,-999,-999,334,1
1,1,150,-999,1
1,1,300,-999,0
0,-999,-999,249,1
0,-999,-999,417,0
1,0,350,242,1
0,-999,-999,360,0
0,-999,-999,522,0
0,-999,-999,456,0
1,1,200,-999,0
1,0,250,252,1
0,-999,-999,494,1
1,1,200,-999,0
0,-999,-999,347,0
1,0,350,227,1
1,0,300,331,0
0,-999,-999,331,0
0,-999,-999,380,0
1,0,150,263,1
1,1,100,-999,1
0,-999,-999,422,1
1,1,250,-999,0
0,-999,-999,423,1
0,-999,-999,440,0
0,-999,-999,447,1
0,-999,-999,274,1
1,0,500,312,1
0,-999,-999,197,1
0,-999,-999,279,1
0,-999,-999,405,0
0,-999,-999,428,0
0,-999,-999,233,1
1,0,350,294,1
0,-999,-999,391,0
0,-999,-999,436,0
1,0,350,325,1
0,-999,-999,512,1
1,1,200,-999,1
0,-999,-999,319,1
1,1,350,-999,0
0,-999,-999,218,0
0,-999,-999,449,0
0,-999,-999,491,0
0,-999,-999,447,0
0,-999,-999,314,1
0,-999,-999,415,0
0,-999,-999,456,0
0,-999,-999,318,0
1,0,400,282,0
1,1,300,-999,0
1,0,350,225,1
0,-999,-999,475,1
0,-999,-999,352,0
1,1,150,-999,1
1,0,250,236,1
1,1,100,-999,1
0,-999,-999,393,0
1,0,250,381,1
0,-999,-999,539,1
0,-999,-999,337,0
0,-999,-999,277,1
0,-999,-999,368,1
0,-999,-999,286,1
1,1,100,-999,1
1,1,200,-999,0
0,-999,-999,285,1
0,-999,-999,451,0
1,1,300,-999,0
0,-999,-999,306,1
0,-999,-999,525,0
0,-999,-999,387,0
0,-999,-999,495,0
0,-999,-999,292,1
0,-999,-999,308,1
