ss_presented,inhibited,ssd,rt,value
0,-999,-999,438,0
0,-999,-999,324,0
1,0,350,405,1
0,-999,-999,372,0
1,1,300,-999,0
0,-999,-999,378,1
1,0,400,377,0
1,1,250,-999,0
1,0,400,370,0
0,-999,-999,207,1
1,1,250,-999,0
1,0,350,203,1
0,-999,-999,476,1
1,0,200,270,1
0,-999,-999,553,1
1,1,150,-999,0
0,-999,-999,483,1
0,-999,-999,378,0
1,0,300,260,1
1,1,150,-999,1
0,-999,-999,371,1
0,-999,-999,239,0
0,-999,-999,403,1
0,-999,-999,235,1
0,-999,-999,250,1
0,-999,-999,308,1
1,1,300,-999,0
1,0,350,359,0
0,-999,-999,471,0
1,1,150,-999,1
0,-999,-999,520,0
0,-999,-999,452,0
0,-999,-999,437,0
0,-999,-999,449,0
1,0,150,316,1
1,1,100,-999,0
0,-999,-999,330,1
1,0,250,318,1
0,-999,-999,404,1
0,-999,-999,339,1
0,-999,-999,367,0
0,-999,-999,439,0
1,1,200,-999,0
0,-999,-999,383,0
0,-999,-999,426,1
0,-999,-999,326,1
1,0,350,381,0
1,0,300,323,0
0,-999,-999,302,0
0,-999,-999,368,0
0,-999,-999,331,0
0,-999,-999,427,1
1,1,150,-999,0
1,0,250,270,1
1,1,250,-999,0
1,0,350,384,1
0,-999,-999,337,0
1,1,250,-999,0
0,-999,-999,410,0
1,0,300,218,1
0,-999,-999,325,1
1,1,150,-999,0
1,0,300,287,1
1,1,150,-999,0
1,1,200,-999,0
0,-999,-999,379,1
1,1,250,-999,0
0,-999,-999,263,0
1,0,350,419,0
0,-999,-999,373,0
1,0,300,204,1
0,-999,-999,356,1
0,-999,-999,359,1
1,1,250,-999,0
1,0,300,323,1
0,-999,-999,315,0
0,-999,-999,322,1
1,1,150,-999,0
0,-999,-999,189,0
0,-999,-999,363,1
0,-999,-999,221,1
1,1,200,-999,1
0,-999,-999,377,1
0,-999,-999,332,1
1,0,250,252,1
0,-999,-999,376,0
0,-999,-999,387,0
0,-999,-999,410,0
0,-999,-999,231,1
1,1,100,-999,1
1,0,250,230,1
0,-999,-999,306,1
0,-999,-999,458,1
1,1,100,-999,0
0,-999,-999,317,1
1,1,200,-999,0
1,0,350,230,0
0,-999,-999,321,1
0,-999,-999,321,1
1,1,200,-999,0
0,-999,-999,201,1
0,-999,-999,285,1
1,0,350,235,1
0,-999,-999,274,1
0,-999,-999,464,0
0,-999,-999,235,1
0,-999,-999,340,0
1,0,300,355,0
0,-999,-999,273,0
1,1,150,-999,0
0,-999,-999,318,0
0,-999,-999,313,0
0,-999,-999,356,0
0,-999,-999,378,1
0,-999,-999,365,1
1,0,300,319,1
0,-999,-999,358,1
1,1,150,-999,1
1,1,200,-999,0
1,0,350,279,1
1,1,200,-999,1
0,-999,-999,310,0
0,-999,-999,330,0
0,-999,-999,508,0
1,1,250,-999,0
1,0,300,357,0
0,-999,-999,554,0
0,-999,-999,387,0
0,-999,-999,283,0
1,0,250,391,0
1,1,150,-999,0
0,-999,-999,399,0
1,0,250,219,0
1,0,150,224,1
0,-999,-999,363,1
0,-999,-999,322,1
0,-999,-999,375,1
1,1,100,-999,1
0,-999,-999,465,0
1,0,200,241,1
0,-999,-999,396,0
0,-999,-999,291,1
0,-999,-999,456,0
0,-999,-999,381,0
0,-999,-999,234,1
0,-999,-999,331,1
0,-999,-999,380,1
0,-999,-999,272,0
1,1,100,-999,1
1,1,200,-999,0
1,0,450,224,1
0,-999,-999,416,1
0,-999,-999,326,0
0,-999,-999,314,1
0,-999,-999,292,0
0,-999,-999,417,1
1,0,300,203,1
1,1,150,-999,1
1,1,300,-999,1
1,0,450,325,1
0,-999,-999,437,1
1,1,300,-999,1
0,-999,-999,453,0
1,0,400,396,1
1,1,300,-999,1
1,0,350,332,0
0,-999,-999,356,0
1,0,300,381,0
0,-999,-999,420,0
1,0,200,217,0
1,1,150,-999,1
0,-999,-999,470,0
1,0,250,303,1
1,1,150,-999,0
0,-999,-999,372,0
0,-999,-999,398,0
0,-999,-999,258,1
1,1,200,-999,0
0,-999,-999,346,1
0,-999,-999,440,0
1,1,250,-999,0
0,-999,-999,418,0
1,0,300,276,1
1,0,200,227,0
0,-999,-999,227,1
0,-999,-999,331,0
0,-999,-999,399,1
1,1,150,-999,1
0,-999,-999,361,0
1,0,300,326,1
0,-999,-999,295,0
0,-999,-999,367,0
0,-999,-999,399,1
0,-999,-999,328,0
0,-999,-999,386,1
0,-999,-999,323,0
1,1,150,-999,0
0,-999,-999,325,0
1,0,300,247,1
0,-999,-999,225,1
0,-999,-999,310,0
1,1,150,-999,0
0,-999,-999,288,1
0,-999,-999,371,0
0,-999,-999,364,1
1,1,250,-999,0
0,-999,-999,249,1
1,0,400,397,0
0,-999,-999,381,0
0,-999,-999,210,1
1,0,300,433,0
0,-999,-999,372,0
0,-999,-999,401,0
0,-999,-999,416,0
1,1,200,-999,0
0,-999,-999,265,1
1,0,300,403,0
0,-999,-999,442,0
1,1,150,-999,0
1,0,300,247,1
1,0,300,412,0
0,-999,-999,236,1
0,-999,-999,432,0
0,-999,-999,357,1
0,-999,-999,655,0
0,-999,-999,380,0
0,-999,-999,277,1
0,-999,-999,348,0
1,0,300,306,1
1,1,250,-999,1
0,-999,-999,351,0
1,0,400,359,0
0,-999,-999,485,0
1,0,300,347,0
1,1,200,-999,0
1,1,250,-999,0
0,-999,-999,318,0
0,-999,-999,191,0
0,-999,-999,563,1
0,-999,-999,256,1
0,-999,-999,422,0
1,0,350,207,1
1,0,300,272,0
0,-999,-999,242,0
0,-999,-999,235,1
0,-999,-999,379,0
0,-999,-999,299,1
0,-999,-999,319,0
1,0,300,333,1
1,1,250,-999,1
1,1,350,-999,1
1,0,450,495,0
0,-999,-999,446,0
1,0,400,196,0
