ss_presented,inhibited,ssd,rt,value
1,1,300,-999,0
1,0,450,293,1
1,0,300,293,0
1,1,250,-999,1
0,-999,-999,375,1
1,0,400,497,1
1,1,250,-999,0
0,-999,-999,429,1
0,-999,-999,534,0
1,1,300,-999,0
1,0,400,457,0
1,0,350,407,0
1,0,300,265,1
0,-999,-999,384,0
0,-999,-999,544,1
0,-999,-999,471,1
0,-999,-999,565,0
1,1,200,-999,0
0,-999,-999,338,1
1,1,250,-999,1
1,0,350,486,1
0,-999,-999,314,0
0,-999,-999,310,1
0,-999,-999,659,1
0,-999,-999,503,0
0,-999,-999,438,1
0,-999,-999,469,1
0,-999,-999,435,0
0,-999,-999,442,1
0,-999,-999,498,0
0,-999,-999,393,1
0,-999,-999,489,0
0,-999,-999,408,1
0,-999,-999,455,0
1,1,350,-999,1
0,-999,-999,457,0
1,0,400,328,1
1,0,250,319,0
1,1,150,-999,0
0,-999,-999,328,1
1,1,300,-999,0
0,-999,-999,385,1
0,-999,-999,455,0
1,0,500,296,0
0,-999,-999,370,1
1,0,350,428,1
1,1,250,-999,1
1,1,300,-999,1
1,0,450,392,1
0,-999,-999,410,1
1,0,400,302,0
0,-999,-999,623,0
1,1,250,-999,0
0,-999,-999,333,0
0,-999,-999,361,1
0,-999,-999,370,1
0,-999,-999,406,1
1,0,400,468,0
0,-999,-999,456,0
1,0,350,322,0
1,1,200,-999,0
0,-999,-999,404,0
0,-999,-999,455,0
0,-999,-999,205,0
0,-999,-999,317,0
1,0,350,474,0
1,1,200,-999,0
0,-999,-999,484,0
0,-999,-999,315,1
1,0,350,469,0
1,1,250,-999,0
1,1,300,-999,1
1,0,400,416,0
1,0,250,412,1
0,-999,-999,401,1
1,1,100,-999,1
1,1,200,-999,0
0,-999,-999,452,0
0,-999,-999,333,1
1,0,350,252,1
0,-999,-999,421,1
1,1,200,-999,1
0,-999,-999,418,1
0,-999,-999,443,0
0,-999,-999,275,1
0,-999,-999,302,1
0,-999,-999,246,1
1,1,250,-999,0
0,-999,-999,415,0
1,0,300,346,1
0,-999,-999,456,0
0,-999,-999,539,0
0,-999,-999,387,1
0,-999,-999,381,0
0,-999,-999,292,1
0,-999,-999,616,0
0,-999,-999,428,1
1,1,200,-999,0
1,1,250,-999,0
1,0,300,350,1
0,-999,-999,434,0
0,-999,-999,367,0
0,-999,-999,411,0
0,-999,-999,321,0
0,-999,-999,490,0
1,1,200,-999,0
